nome;morada;postal;localidade;lat;lng;codigo;
Escola Básica de São Romão, Mesão Frio, Guimarães;R. Belos Ares  ;4810 - 000 creixomil - salgueiral;Mesão Frio;41.450706;-8.263015;308308;
Escola Básica de São Roque de Lameira, Porto;Rua de Ourique  ;4350 - 256 porto;Porto;41.166267;-8.572949;1312060;
Escola Básica de São Roque, Guimarães;Costa - S. Roque  ;4810 - 000 creixomil - salgueiral;S. Roque;41.43429;-8.284332;308259;
Escola Básica de São Roque, Ponte de Lima;São Roque  ;4990 - 681 poiares ptl;São Roque;41.651688;-8.623118;1607880;
Escola Básica de São Salvador, Marco de Canaveses;S. Salvador  ;4630 - 743 soalhães;Soalhães;41.144863;-8.114186;1307271;
Escola Básica de São Sebastião, Vila Nova de Cerveira;S. Sebastião - Covas  ;4920 - 042 covas vnc;S. Sebastião - Covas;41.885803;-8.696466;1610300;
Escola Básica de São Tomé, Porto;Travessa Conde de Avranches  ;4200 - 000 porto;Porto;41.177757;-8.611517;1312056;
Escola Básica de São Vitor, Braga;R. Beato Miguel de Carvalho  ;4710 - 356 braga;Braga;41.551926;-8.41286;303520;
Escola Básica de Tabosa, Vila Nova de Gaia;R. da Escola Tabosa  ;4415 - 208 pedroso;Tabosa;41.05393;-8.538984;1317368;
Escola Básica de Tabuadelo, Guimarães;Rua de S. José Tabuadelo  ;4835 - 463 tabuadelo;Tabuadelo;41.40087;-8.287357;308099;
Escola Básica de Tagilde, Vizela;Lugar da Torre  ;4815 - 601 tagilde;Tagilde;41.376812;-8.282279;308936;
Escola Básica de Talhô, Gondalães, Paredes;Rua da Carreira  ;4580 - 402 gondalães;Gondalães;41.234016;-8.326023;1310737;
Escola Básica de Tamel - Santa Leocádia, Barcelos;Sobrado  ;4750 - 000 barcelos;Tamel (Santa Leocádia);41.575024;-8.651793;302369;
Escola Básica de Tamel - São Pedro de Fins, Barcelos;Rua da Boavista  ;4750 - 000 barcelos;Cruz;41.601456;-8.626864;302688;
Escola Básica de Tarei, Santa Maria da Feira;Rua da Escola de Tarei  ;4520 - 719 souto vfr;Tarei;40.890995;-8.572855;109980;
Escola Básica de Tarouca;Av. dos Restauradores do Concelho  ;3610 - 000 tarouca;Tarouca;41.020523;-7.7779098;1820172;
Escola Básica de Tarouquela, Cinfães;Colégio  ;4690 - 703 tarouquela;Tarouquela;41.073746;-8.1878195;1804494;
Escola Básica de Tarrio, Santo Tirso;Rua das Escolas  ;4780 - 187 santo tirso;Tarrio;41.31891;-8.481305;1314053;
Escola Básica de Tebosa, Braga;Lugar de Igreja  ;4700 - 895 parada de tibães;Tebosa;41.482883;-8.484096;303629;
Escola Básica de Telhado, Vila Nova de Famalicão;Avenida da Raposeira, nº 772- Telhado  ;4770 - 711 telhado;Telhado;41.45042;-8.456907;312475;
Escola Básica de Telheiro, Lousada;São Miguel  ;4620 - 000 lousada;Telheiro;41.31039;-8.246049;1305513;
Escola Básica de Tenões, Braga;Rua da Calçada, nº 21 -Tenões  ;4715 - 057 braga;Braga;41.557293;-8.392026;303696;
Escola Básica de Teso, Póvoa de Varzim;Rua Nossa Senhora do Ó  ;4490 - 000 póvoa de varzim;Teso;41.455368;-8.742387;1313597;
Escola Básica de Tojais, Penafiel;S. Miguel de Paredes  ;4575 - 000 entre-os-rios;Tojais;41.126034;-8.285599;1311763;
Escola Básica de Torneiros, Vila Real;R. Escola  ;5000 - 051 vila real;Torneiros;41.28974;-7.715666;1714134;
Escola Básica de Torrados, Felgueiras;Rua de Nogueira  ;4650 - 577 torrados;Torrados;41.359344;-8.237569;1303256;
Escola Básica de Torre de Dona Chama, Mirandela;Rua da Escola Básica  ;5385 - 080 torre de dona chama;Torre de Dona Chama;41.65738;-7.131629;407897;
