nome;lat;lng;link
Câmara Municipal de Ovar;40.83136;-8.57708;http://portalnacional.com.pt/entidade/camara-municipal-de-ovar-184/
Câmara Municipal de Paços de Ferreira;41.30966;-8.32810;http://portalnacional.com.pt/entidade/camara-municipal-de-pacos-de-ferreira-185/
Câmara Municipal de Palmela;38.56597;-8.94454;http://portalnacional.com.pt/entidade/camara-municipal-de-palmela-186/
Câmara Municipal de Pampilhosa da Serra;40.11184;-7.87131;http://portalnacional.com.pt/entidade/camara-municipal-de-pampilhosa-da-serra-187/
Câmara Municipal de Paredes;41.23614;-8.38454;http://portalnacional.com.pt/entidade/camara-municipal-de-paredes-188/
Câmara Municipal de Paredes de Coura;41.89966;-8.50749;http://portalnacional.com.pt/entidade/camara-municipal-de-paredes-de-coura-189/
Câmara Municipal de Pedrogão Grande;39.93914;-8.22574;http://portalnacional.com.pt/entidade/camara-municipal-de-pedrogao-grande-190/
Câmara Municipal de Penacova;40.32549;-8.18867;http://portalnacional.com.pt/entidade/camara-municipal-de-penacova-191/
Câmara Municipal de Penafiel;41.17963;-8.23939;http://portalnacional.com.pt/entidade/camara-municipal-de-penafiel-192/
Câmara Municipal de Penalva do Castelo;40.67023;-7.60220;http://portalnacional.com.pt/entidade/camara-municipal-de-penalva-do-castelo-193/
Câmara Municipal de Penamacor;40.27639;-7.20156;http://portalnacional.com.pt/entidade/camara-municipal-de-penamacor-194/
Câmara Municipal de Penedono;41.02072;-7.35598;http://portalnacional.com.pt/entidade/camara-municipal-de-penedono-195/
Câmara Municipal de Penela;40.03068;-8.45525;http://portalnacional.com.pt/entidade/camara-municipal-de-penela-196/
Câmara Municipal de Peniche;39.36680;-9.38341;http://portalnacional.com.pt/entidade/camara-municipal-de-peniche-197/
Câmara Municipal de Peso da Régua;41.23542;-7.85926;http://portalnacional.com.pt/entidade/camara-municipal-de-peso-da-regua-198/
Câmara Municipal de Pinhel;40.73409;-7.06965;http://portalnacional.com.pt/entidade/camara-municipal-de-pinhel-199/
Câmara Municipal de Pombal;39.86017;-8.56279;http://portalnacional.com.pt/entidade/camara-municipal-de-pombal-200/
Câmara Municipal de Ponta Delgada;37.75000;-25.61667;http://portalnacional.com.pt/entidade/camara-municipal-de-ponta-delgada-201/
Câmara Municipal de Ponte da Barca;41.80932;-8.38813;http://portalnacional.com.pt/entidade/camara-municipal-de-ponte-da-barca-202/
Câmara Municipal de Ponte de Lima;41.68417;-8.61973;http://portalnacional.com.pt/entidade/camara-municipal-de-ponte-de-lima-203/
Câmara Municipal de Ponte de Sôr;39.24926;-7.92467;http://portalnacional.com.pt/entidade/camara-municipal-de-ponte-de-sor-204/
Câmara Municipal de Portalegre;39.22520;-7.40097;http://portalnacional.com.pt/entidade/camara-municipal-de-portalegre-205/
Câmara Municipal de Portel;38.22590;-7.68028;http://portalnacional.com.pt/entidade/camara-municipal-de-portel-206/
Câmara Municipal de Portimão;37.13763;-8.53440;http://portalnacional.com.pt/entidade/camara-municipal-de-portimao-207/
Câmara Municipal de Porto de Mós;39.55528;-8.83292;http://portalnacional.com.pt/entidade/camara-municipal-de-porto-de-mos-208/
Câmara Municipal de Porto Moniz;32.81667;-17.11667;http://portalnacional.com.pt/entidade/camara-municipal-de-porto-moniz-209/
Câmara Municipal de Porto Santo;33.05000;-16.33333;http://portalnacional.com.pt/entidade/camara-municipal-de-porto-santo-210/
Câmara Municipal de Póvoa de Lanhoso;41.55195;-8.25699;http://portalnacional.com.pt/entidade/camara-municipal-de-povoa-de-lanhoso-211/
Câmara Municipal de Povoação;37.75000;-25.25000;http://portalnacional.com.pt/entidade/camara-municipal-de-povoacao-212/
Câmara Municipal de Proença-A-Nova;39.77206;-7.85185;http://portalnacional.com.pt/entidade/camara-municipal-de-proenca-a-nova-213/
Câmara Municipal de Reguengos de Monsaraz;38.42346;-7.53357;http://portalnacional.com.pt/entidade/camara-municipal-de-reguengos-de-monsaraz-214/
Câmara Municipal de Resende;41.09068;-7.98221;http://portalnacional.com.pt/entidade/camara-municipal-de-resende-215/
Câmara Municipal de Ribeira de Pena;41.54053;-7.80867;http://portalnacional.com.pt/entidade/camara-municipal-de-ribeira-de-pena-216/
Câmara Municipal de Ribeira Grande;37.86667;-25.73333;http://portalnacional.com.pt/entidade/camara-municipal-de-ribeira-grande-217/
Câmara Municipal de Rio Maior;39.36662;-8.88801;http://portalnacional.com.pt/entidade/camara-municipal-de-rio-maior-218/
Câmara Municipal de S. Brás de Alportel;37.15028;-7.88831;http://portalnacional.com.pt/entidade/camara-municipal-de-s-bras-de-alportel-219/
Câmara Municipal de S. Roque do Pico;38.51667;-28.31667;http://portalnacional.com.pt/entidade/camara-municipal-de-s-roque-do-pico-220/
Câmara Municipal de Sabrosa;41.24305;-7.57774;http://portalnacional.com.pt/entidade/camara-municipal-de-sabrosa-221/
Câmara Municipal de Salvaterra de Magos;39.02521;-8.79339;http://portalnacional.com.pt/entidade/camara-municipal-de-salvaterra-de-magos-222/
Câmara Municipal de Santa Comba Dão;40.38819;-8.12119;http://portalnacional.com.pt/entidade/camara-municipal-de-santa-comba-dao-223/
Câmara Municipal de Santa Cruz;32.66667;-16.81667;http://portalnacional.com.pt/entidade/camara-municipal-de-santa-cruz-224/
Câmara Municipal de Santa Cruz da Graciosa;38.65000;-27.26667;http://portalnacional.com.pt/entidade/camara-municipal-de-santa-cruz-da-graciosa-225/
